dataset,pipeline,severity,mean_roc_auc,std_roc_auc,dataset_mean_roc_auc,dataset_std_roc_auc,baseline_roc_auc_s020,avg_degradation_from_s020
adult,A,0.2,0.8862135840293073,0.025399863298564383,0.8473376136636211,0.03794616256200886,0.8862135840293073,0.0
adult,A,0.4,0.877324031875483,0.028896880225368102,0.8473376136636211,0.03794616256200886,0.8862135840293073,0.008889552153824254
adult,A,0.6,0.8517383825663689,0.01897474598557826,0.8473376136636211,0.03794616256200886,0.8862135840293073,0.034475201462938365
adult,A,0.8,0.8202668399635599,0.003755541218476421,0.8473376136636211,0.03794616256200886,0.8862135840293073,0.06594674406574741
adult,A,1.0,0.8011452298833864,0.007787737804278523,0.8473376136636211,0.03794616256200886,0.8862135840293073,0.08506835414592084
adult,B,0.2,0.8861906271881687,0.009600838633515444,0.804825776353121,0.05999400398560997,0.8861906271881687,0.0
adult,B,0.4,0.8423171130227679,0.020119802046232583,0.804825776353121,0.05999400398560997,0.8861906271881687,0.04387351416540075
adult,B,0.6,0.8114028113953156,0.03042961408353504,0.804825776353121,0.05999400398560997,0.8861906271881687,0.0747878157928531
adult,B,0.8,0.7496274737662061,0.004492776938820969,0.804825776353121,0.05999400398560997,0.8861906271881687,0.13656315342196257
adult,B,1.0,0.7345908563931471,0.021494818254649488,0.804825776353121,0.05999400398560997,0.8861906271881687,0.15159977079502152
bank-marketing,A,0.2,0.9090081566015881,0.0013812485080291496,0.8354191954390143,0.05669237161148041,0.9090081566015881,0.0
bank-marketing,A,0.4,0.8831694134968956,0.02153377983125922,0.8354191954390143,0.05669237161148041,0.9090081566015881,0.025838743104692474
bank-marketing,A,0.6,0.8381908347933263,0.0037142618373214066,0.8354191954390143,0.05669237161148041,0.9090081566015881,0.07081732180826172
bank-marketing,A,0.8,0.7799795170784223,0.0037971611383002335,0.8354191954390143,0.05669237161148041,0.9090081566015881,0.1290286395231658
bank-marketing,A,1.0,0.7667480552248389,0.004039594774057612,0.8354191954390143,0.05669237161148041,0.9090081566015881,0.14226010137674916
bank-marketing,B,0.2,0.8228497099910841,0.020893057705080133,0.7245865289164648,0.07901516339492783,0.8228497099910841,0.0
bank-marketing,B,0.4,0.7535276575905115,0.041366357239222364,0.7245865289164648,0.07901516339492783,0.8228497099910841,0.06932205240057254
bank-marketing,B,0.6,0.7470058044803232,0.06462660825918715,0.7245865289164648,0.07901516339492783,0.8228497099910841,0.07584390551076092
