dataset,seed,shift_type,severity,pipeline,roc_auc
adult,0,important,0.2,A,0.866369075741827
adult,0,important,0.2,B,0.8762944266362351
adult,0,important,0.4,A,0.8535977428397673
adult,0,important,0.4,B,0.8196603841242844
adult,0,important,0.6,A,0.8378595865103421
adult,0,important,0.6,B,0.7847254022595832
adult,0,important,0.8,A,0.8268303083606514
adult,0,important,0.8,B,0.7563855150206793
adult,0,important,1.0,A,0.8093073939200109
adult,0,important,1.0,B,0.7112198986749239
adult,0,random,0.2,A,0.9106757791394393
adult,0,random,0.2,B,0.8963153361390349
adult,0,random,0.4,A,0.9048123959673493
adult,0,random,0.4,B,0.8596949344730588
adult,0,random,0.6,A,0.875995503124311
adult,0,random,0.6,B,0.8432035635801526
adult,0,random,0.8,A,0.8258305651865259
adult,0,random,0.8,B,0.7465322449731182
adult,0,random,1.0,A,0.7950789981852586
adult,0,random,1.0,B,0.7559269839193082
adult,1,important,0.2,A,0.8607307180706077
adult,1,important,0.2,B,0.8745914409143001
adult,1,important,0.4,A,0.8487474287126482
adult,1,important,0.4,B,0.8172314413019618
adult,1,important,0.6,A,0.8337455267474456
adult,1,important,0.6,B,0.7753009829646913
adult,1,important,0.8,A,0.8190770744140857
adult,1,important,0.8,B,0.7452729501782033
adult,1,important,1.0,A,0.8085263161720346
adult,1,important,1.0,B,0.7077999956388059
adult,1,random,0.2,A,0.9105540291376223
adult,1,random,0.2,B,0.8951665854999988
adult,1,random,0.4,A,0.9069342380388196
adult,1,random,0.4,B,0.861430932011407
adult,1,random,0.6,A,0.8686750571195283
adult,1,random,0.6,B,0.8406183446360947
adult,1,random,0.8,A,0.8198036372358751
adult,1,random,0.8,B,0.7386360607756626
adult,1,random,1.0,A,0.791252656088348
adult,1,random,1.0,B,0.7458235509326898
adult,2,important,0.2,A,0.8643892753391434
adult,2,important,0.2,B,0.876637567810511
adult,2,important,0.4,A,0.8510037409353792
adult,2,important,0.4,B,0.821728922712372
adult,2,important,0.6,A,0.8336661772437739
adult,2,important,0.6,B,0.7821934867989078
adult,2,important,0.8,A,0.8200444114932001
adult,2,important,0.8,B,0.7538838856301078
adult,2,important,1.0,A,0.8072873130440894
adult,2,important,1.0,B,0.7141988365303308
adult,2,random,0.2,A,0.9117418488070923
adult,2,random,0.2,B,0.8956242080192668
adult,2,random,0.4,A,0.9054490091609304
adult,2,random,0.4,B,0.8608088561314753
adult,2,random,0.6,A,0.8724559701112831
adult,2,random,0.6,B,0.8432901817406494
adult,2,random,0.8,A,0.8202748884866898
adult,2,random,0.8,B,0.7458459626245666
adult,2,random,1.0,A,0.7924901449127884
adult,2,random,1.0,B,0.7535695162224305
adult,3,important,0.2,A,0.8641194264545188
adult,3,important,0.2,B,0.8771736312513476
adult,3,important,0.4,A,0.8502050972667428
adult,3,important,0.4,B,0.8257793817280505
adult,3,important,0.6,A,0.8356868638410975
adult,3,important,0.6,B,0.7863535813883619
adult,3,important,0.8,A,0.8181103430563733
adult,3,important,0.8,B,0.7541285970765462
adult,3,important,1.0,A,0.8085877968943451
adult,3,important,1.0,B,0.7163461189006883
adult,3,random,0.2,A,0.9115749725608204
adult,3,random,0.2,B,0.8952940898551358
adult,3,random,0.4,A,0.9061398344199976
adult,3,random,0.4,B,0.8612904046461254
adult,3,random,0.6,A,0.8727709452403624
adult,3,random,0.6,B,0.8387145622693717
adult,3,random,0.8,A,0.8205474631176239
adult,3,random,0.8,B,0.7476510124027514
adult,3,random,1.0,A,0.7943291150894892
adult,3,random,1.0,B,0.7545622936004324
adult,4,important,0.2,A,0.8591915799879339
adult,4,important,0.2,B,0.8774928464302415
adult,4,important,0.4,A,0.8456425008056093
adult,4,important,0.4,B,0.8256927635675537
adult,4,important,0.6,A,0.8303216865222143
adult,4,important,0.6,B,0.7848489694256066
adult,4,important,0.8,A,0.8173150308554482
adult,4,important,0.8,B,0.757507311057323
adult,4,important,1.0,A,0.803897090356673
adult,4,important,1.0,B,0.7172922557307302
adult,4,random,0.2,A,0.9121812996842982
adult,4,random,0.2,B,0.8936053385861494
adult,4,random,0.4,A,0.9064820670121702
adult,4,random,0.4,B,0.8606228996610384
adult,4,random,0.6,A,0.8673252069750033
adult,4,random,0.6,B,0.8432308210432462
adult,4,random,0.8,A,0.8150469070653767
adult,4,random,0.8,B,0.7527015174532564
adult,4,random,1.0,A,0.7908680229980303
adult,4,random,1.0,B,0.7603614703039024
adult,5,important,0.2,A,0.8662506572077213
adult,5,important,0.2,B,0.8773389931941142
adult,5,important,0.4,A,0.8548594605202904
adult,5,important,0.4,B,0.8211450072807712
adult,5,important,0.6,A,0.8407385803344067
adult,5,important,0.6,B,0.7798305676094115
adult,5,important,0.8,A,0.8270362536373571
adult,5,important,0.8,B,0.75380574756924
adult,5,important,1.0,A,0.8127739375040887
adult,5,important,1.0,B,0.7152976151536957
adult,5,random,0.2,A,0.9118542101271773
adult,5,random,0.2,B,0.8954854978181914
adult,5,random,0.4,A,0.9051331254497481
adult,5,random,0.4,B,0.8628319656144073
adult,5,random,0.6,A,0.8773420218011246
adult,5,random,0.6,B,0.8366847898510168
adult,5,random,0.8,A,0.8271695123458136
adult,5,random,0.8,B,0.7473729862791987
adult,5,random,1.0,A,0.8010296052392478
adult,5,random,1.0,B,0.759924139451604
adult,6,important,0.2,A,0.8588093697832244
adult,6,important,0.2,B,0.8760142804877754
adult,6,important,0.4,A,0.8453045082632513
adult,6,important,0.4,B,0.8190570856078171
adult,6,important,0.6,A,0.8272531018993
adult,6,important,0.6,B,0.7766359929348655
adult,6,important,0.8,A,0.8173949860805221
adult,6,important,0.8,B,0.7430214837266889
adult,6,important,1.0,A,0.8025623832471998
adult,6,important,1.0,B,0.7115070106195076
adult,6,random,0.2,A,0.9102230023913881
adult,6,random,0.2,B,0.8965118927340083
adult,6,random,0.4,A,0.9053775340354856
adult,6,random,0.4,B,0.8629506870092143
adult,6,random,0.6,A,0.8658748070777335
adult,6,random,0.6,B,0.8432647414417624
adult,6,random,0.8,A,0.8138787733414741
adult,6,random,0.8,B,0.7429282026307691
adult,6,random,1.0,A,0.7908450055847513
adult,6,random,1.0,B,0.746339019845856
adult,7,important,0.2,A,0.8608327821268575
adult,7,important,0.2,B,0.8778156959375477
adult,7,important,0.4,A,0.8482816289544521
adult,7,important,0.4,B,0.8251736603259751
adult,7,important,0.6,A,0.8338157904300862
adult,7,important,0.6,B,0.7811292342954612
adult,7,important,0.8,A,0.819858455022763
adult,7,important,0.8,B,0.7475056392662534
adult,7,important,1.0,A,0.8080429504931783
adult,7,important,1.0,B,0.7141588589177938
adult,7,random,0.2,A,0.911698842587545
adult,7,random,0.2,B,0.8934963087337757
adult,7,random,0.4,A,0.9062609787004127
adult,7,random,0.4,B,0.8609451434469425
adult,7,random,0.6,A,0.8705558220729724
adult,7,random,0.6,B,0.8387290995830214
adult,7,random,0.8,A,0.8202131049036782
adult,7,random,0.8,B,0.741376950120054
adult,7,random,1.0,A,0.79465620464661
adult,7,random,1.0,B,0.7521042761508101
adult,8,important,0.2,A,0.8606822603584416
adult,8,important,0.2,B,0.8754285478919683
adult,8,important,0.4,A,0.8474887396391354
adult,8,important,0.4,B,0.8222468145111465
adult,8,important,0.6,A,0.8325292381720781
adult,8,important,0.6,B,0.7813015620343517
adult,8,important,0.8,A,0.8197500308917914
adult,8,important,0.8,B,0.7504167363246279
adult,8,important,1.0,A,0.8095151563609226
