dataset,pipeline_a_mean,pipeline_b_mean,std_deviation,p_value,winner
adult,0.8473376136636211,0.8048257763531209,0.0020634742315725,1.9073486328125e-06,A
bank-marketing,0.8354191954390142,0.7245865289164646,0.00389242307669865,1.9073486328125e-06,A
blood-transfusion,0.6877546296296295,0.6957711988304094,0.007950006427364601,0.0023250579833984,B
churn,0.8531700641517845,0.7673971466078815,0.0034145968925875,1.9073486328125e-06,A
credit-approval,0.8234958484138811,0.6708878007238663,0.00475512274565805,1.9073486328125e-06,A
credit-g,0.6814092261904762,0.6138535714285713,0.0083192944526211,1.9073486328125e-06,A
diabetes,0.7598870370370371,0.7776407407407407,0.0029837657543597,1.9073486328125e-06,B
ilpd,0.6228986534372786,0.6489174344436569,0.00974760019089845,1.9073486328125e-06,B
jungle_chess,0.81115199738858,0.890527770427528,0.00071273316579375,1.9073486328125e-06,B
kc1,0.7508499245852188,0.6439602456367162,0.00767511438695285,1.9073486328125e-06,A
pc1,0.7560322061191627,0.6787648953301126,0.0068207487939055,1.9073486328125e-06,A
phoneme,0.8217573847589478,0.8411979639783969,0.0027193865041475,1.9073486328125e-06,B
