dataset,n_seeds,pipeline_a_mean,pipeline_b_mean,pipeline_a_std,pipeline_b_std,p_value,significant,winner
adult,20,0.8473376136636211,0.8048257763531209,0.0024547075799555436,0.0016722408831895618,1.9073486328125e-06,True,A
bank-marketing,20,0.8354191954390142,0.7245865289164646,0.0010035735590474618,0.006781272594349961,1.9073486328125e-06,True,A
blood-transfusion,20,0.6877546296296295,0.6957711988304094,0.005264497909782689,0.010635514944946611,0.0023250579833984375,True,B
churn,20,0.8531700641517845,0.7673971466078815,0.00248439980586798,0.004344793979307195,1.9073486328125e-06,True,A
credit-approval,20,0.8234958484138811,0.6708878007238663,0.004200747461799074,0.005309498029517137,1.9073486328125e-06,True,A
credit-g,20,0.6814092261904762,0.6138535714285713,0.00735304644490806,0.009285542460334292,1.9073486328125e-06,True,A
diabetes,20,0.7598870370370371,0.7776407407407407,0.0026243178650331984,0.0033432136436863887,1.9073486328125e-06,True,B
ilpd,20,0.6228986534372786,0.6489174344436569,0.007664462414632855,0.011830737967164176,1.9073486328125e-06,True,B
jungle_chess,20,0.81115199738858,0.890527770427528,0.0005429644834734821,0.0008825018481141491,1.9073486328125e-06,True,B
kc1,20,0.7508499245852188,0.6439602456367162,0.004751017453367333,0.010599211320538413,1.9073486328125e-06,True,A
pc1,20,0.7560322061191627,0.6787648953301126,0.006071323069730618,0.00757017451808041,1.9073486328125e-06,True,A
phoneme,20,0.8217573847589478,0.8411979639783969,0.0012388728159194978,0.004199900192375696,1.9073486328125e-06,True,B
